,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,Conference,Age_Group
0,Quincy Acy,PF,27,BRK,70,8,19.4,1.9,5.2,0.35600000000000004,1.5,4.2,0.349,0.4,1.0,0.384,0.496,0.7,0.9,0.8170000000000001,0.6,3.1,3.7,0.8,0.5,0.4,0.9,2.1,5.9,1709538.0,East,27-30
1,Jarrett Allen,C,19,BRK,72,31,20.0,3.3,5.5,0.589,0.1,0.2,0.33299999999999996,3.2,5.3,0.599,0.596,1.6,2.0,0.7759999999999999,2.0,3.4,5.4,0.7,0.4,1.2,1.1,2.0,8.2,1713720.0,East,18-21
2,DeMarre Carroll,PF,31,BRK,73,73,29.9,4.5,10.8,0.414,2.0,5.4,0.371,2.5,5.4,0.457,0.506,2.6,3.4,0.764,1.4,5.1,6.6,2.0,0.8,0.4,1.4,2.3,13.5,14800000.0,East,30-33
3,Allen Crabbe,SG,25,BRK,75,68,29.3,4.5,11.0,0.40700000000000003,2.7,7.1,0.37799999999999995,1.8,3.9,0.461,0.529,1.5,1.8,0.852,0.4,3.9,4.3,1.6,0.6,0.5,1.0,2.2,13.2,19332500.0,East,24-27
4,Spencer Dinwiddie,PG,24,BRK,80,58,28.8,4.1,10.5,0.387,1.8,5.4,0.326,2.3,5.1,0.452,0.47100000000000003,2.7,3.4,0.813,0.5,2.7,3.2,6.6,0.9,0.3,1.6,2.3,12.6,1524305.0,East,24-27
5,Joe Harris,SG,26,BRK,78,14,25.3,3.9,8.0,0.491,1.9,4.6,0.419,2.0,3.4,0.589,0.612,1.1,1.3,0.8270000000000001,0.7,2.7,3.3,1.6,0.4,0.3,1.2,2.0,10.8,1524305.0,East,24-27
6,Rondae Hollis-Jefferson,SF,23,BRK,68,59,28.2,5.0,10.6,0.47200000000000003,0.2,0.8,0.24100000000000002,4.8,9.9,0.491,0.48100000000000004,3.7,4.6,0.7879999999999999,1.5,5.3,6.8,2.5,1.0,0.7,1.8,2.1,13.9,1471382.0,East,21-24
7,Caris LeVert,SF,23,BRK,71,10,26.3,4.5,10.4,0.435,1.2,3.5,0.34700000000000003,3.3,6.9,0.48,0.493,1.9,2.6,0.711,0.7,2.9,3.7,4.2,1.2,0.3,2.2,2.2,12.1,1632480.0,East,21-24
8,Jeremy Lin,PG,29,BRK,1,1,25.0,5.0,12.0,0.41700000000000004,1.0,2.0,0.5,4.0,10.0,0.4,0.45799999999999996,7.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,18.0,12000000.0,East,27-30
9,Timofey Mozgov,C,31,BRK,31,13,11.6,1.7,3.0,0.5589999999999999,0.1,0.6,0.222,1.5,2.4,0.64,0.581,0.7,1.0,0.767,1.0,2.1,3.2,0.4,0.2,0.4,1.1,1.3,4.2,15280000.0,East,30-33
10,D'Angelo Russell,PG,21,BRK,48,35,25.7,5.8,14.0,0.414,1.9,5.8,0.324,3.9,8.2,0.47700000000000004,0.48100000000000004,2.0,2.7,0.74,0.6,3.3,3.9,5.2,0.8,0.4,3.1,1.9,15.5,5562360.0,East,21-24
11,Isaiah Whitehead,PG,22,BRK,16,0,11.3,2.5,5.4,0.465,0.4,1.1,0.389,2.1,4.3,0.485,0.506,0.8,1.2,0.684,0.3,1.4,1.6,1.3,0.5,0.1,1.5,1.4,6.3,1312611.0,East,21-24
12,Steven Adams,C,24,OKC,76,76,32.7,5.9,9.4,0.629,0.0,0.0,0.0,5.9,9.3,0.631,0.629,2.1,3.8,0.5589999999999999,5.1,4.0,9.0,1.2,1.2,1.0,1.7,2.8,13.9,22471910.0,West,24-27
13,Carmelo Anthony,PF,33,OKC,78,78,32.1,6.1,15.0,0.40399999999999997,2.2,6.1,0.35700000000000004,3.9,8.9,0.43700000000000006,0.47600000000000003,1.9,2.5,0.767,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2,26243760.0,West,33-36
14,Nick Collison,PF,37,OKC,15,0,5.0,0.9,1.3,0.684,0.0,0.0,0.0,0.9,1.3,0.684,0.684,0.3,0.9,0.385,0.5,0.9,1.3,0.3,0.0,0.0,0.5,0.5,2.1,2328652.0,West,36+
15,Raymond Felton,PG,33,OKC,82,2,16.6,2.7,6.7,0.406,1.0,2.8,0.35200000000000004,1.7,3.9,0.444,0.479,0.4,0.5,0.818,0.3,1.6,1.9,2.5,0.6,0.2,0.9,1.1,6.9,2328652.0,West,33-36
16,Terrance Ferguson,SG,19,OKC,61,12,12.5,1.1,2.8,0.414,0.7,2.0,0.33299999999999996,0.5,0.8,0.612,0.5329999999999999,0.1,0.2,0.9,0.3,0.5,0.8,0.3,0.4,0.2,0.2,1.4,3.1,1785000.0,West,18-21
17,Paul George,SF,27,OKC,79,79,36.6,7.3,17.0,0.43,3.1,7.7,0.401,4.2,9.3,0.45399999999999996,0.521,4.3,5.2,0.8220000000000001,0.9,4.7,5.7,3.3,2.0,0.5,2.7,2.9,21.9,19508958.0,West,27-30
18,Jerami Grant,PF,23,OKC,81,1,20.3,3.0,5.6,0.535,0.4,1.4,0.29100000000000004,2.6,4.3,0.613,0.57,2.0,3.0,0.675,1.1,2.9,3.9,0.7,0.4,1.0,0.7,1.9,8.4,1524305.0,West,21-24
19,Josh Huestis,PF,26,OKC,69,10,14.2,0.9,2.6,0.33,0.5,1.7,0.287,0.4,1.0,0.40299999999999997,0.42,0.1,0.3,0.3,0.6,1.7,2.3,0.3,0.2,0.6,0.4,1.2,2.3,1471382.0,West,24-27
20,Dakari Johnson,C,22,OKC,31,6,5.2,0.7,1.3,0.564,0.0,0.0,0.0,0.7,1.3,0.564,0.564,0.4,0.6,0.55,0.5,0.6,1.1,0.3,0.2,0.3,0.1,0.9,1.8,815615.0,West,21-24
21,Patrick Patterson,PF,28,OKC,82,3,15.5,1.3,3.2,0.39799999999999996,0.8,2.1,0.386,0.5,1.2,0.42100000000000004,0.523,0.5,0.6,0.87,0.4,2.0,2.4,0.7,0.6,0.3,0.4,1.1,3.9,5192000.0,West,27-30
22,Andre Roberson,SG,26,OKC,39,39,26.6,2.2,4.2,0.537,0.2,0.9,0.222,2.0,3.2,0.627,0.562,0.3,1.0,0.316,1.9,2.8,4.7,1.2,1.2,0.9,0.8,2.3,5.0,9259259.0,West,24-27
23,Kyle Singler,SF,29,OKC,12,0,4.9,0.6,1.8,0.33299999999999996,0.2,0.4,0.4,0.4,1.3,0.313,0.381,0.6,1.1,0.5379999999999999,0.1,0.8,0.8,0.2,0.1,0.0,0.3,0.3,1.9,4666500.0,West,27-30
24,Russell Westbrook,PG,29,OKC,80,80,36.4,9.5,21.1,0.449,1.2,4.1,0.298,8.3,17.0,0.485,0.47700000000000004,5.2,7.1,0.737,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5,25.4,28530608.0,West,27-30
25,Bam Adebayo,C,20,MIA,69,19,19.8,2.5,4.9,0.512,0.0,0.1,0.0,2.5,4.8,0.523,0.512,1.9,2.6,0.721,1.7,3.8,5.5,1.5,0.5,0.6,1.0,2.0,6.9,2490360.0,East,18-21
26,Wayne Ellington,SG,30,MIA,77,2,26.5,3.7,9.1,0.40700000000000003,2.9,7.5,0.392,0.8,1.6,0.479,0.569,0.9,1.0,0.8590000000000001,0.3,2.5,2.8,1.0,0.7,0.1,0.7,1.2,11.2,6270000.0,East,30-33
27,Udonis Haslem,C,37,MIA,14,0,5.1,0.2,1.1,0.2,0.1,0.6,0.125,0.1,0.5,0.28600000000000003,0.233,0.1,0.1,0.5,0.2,0.5,0.7,0.4,0.0,0.1,0.1,0.2,0.6,2328652.0,East,36+
