Tm,Conference,latitude,longitude
BOS,East,42.3601,71.0589
BRK,East,40.6782,73.9442
NYK,East,40.7128,74.006
PHI,East,39.9526,75.1652
TOR,East,43.6532,79.3832
CHI,East,41.8781,87.6298
CLE,East,41.4993,81.6944
DET,East,42.3314,83.0458
IND,East,39.7684,86.1581
MIL,East,43.0389,87.9065
ATL,East,33.749,84.388
CHO,East,35.2271,80.8431
MIA,East,25.7617,80.1918
ORL,East,28.5383,81.3792
WAS,West,38.9072,77.0369
DEN,West,39.7392,104.9903
MIN,West,44.9778,93.265
OKC,West,35.4676,97.5164
POR,West,45.5051,122.675
UTA,West,40.7608,111.891
GSW,West,37.8044,122.2712
LAC,West,34.0522,118.2437
LAL,West,34.0622,118.2537
PHO,West,33.4484,112.074
SAC,West,38.5816,121.4944
DAL,West,32.7767,96.797
HOU,West,29.7604,95.3698
MEM,West,35.1495,90.049
NOP,West,29.9511,90.0715
SAS,West,29.4241,98.4936
